Chamber,Sipper,Time,Temp,Cond,Salinity,pH,Notes,,Date
8,1,10:59,28.52,0.535,0.26,n/a*,*Wrong Probe,,10/15/2014
8,2,10:55,29.34,0.588,0.28,n/a*,*Wrong Probe,,10/15/2014
8,3,10:58,28.87,0.399,0.19,n/a*,*Wrong Probe,,10/15/2014
8,4,11:00,28.82,0.418,0.2,n/a*,*Wrong Probe,,10/15/2014
8,5,11:12,28.35,0.402,0.2,n/a*,*Wrong Probe,,10/15/2014
8,6,11:20,28.11,0.498,0.24,n/a*,*Wrong Probe,,10/15/2014
8,7,11:07,28.2,0.409,0.19,n/a*,*Wrong Probe,,10/15/2014
8,8,11:05,27.92,0.421,0.2,n/a*,*Wrong Probe,,10/15/2014
10,5,11:35,28.76,0.41,0.19,n/a*,*Wrong Probe,,10/15/2014
10,6,11:38,28.83,0.403,0.19,n/a*,*Wrong Probe,,10/15/2014
10,7,11:42,28.12,0.472,0.23,n/a*,*Wrong Probe,,10/15/2014
10,8,11:40,28.41,0.397,0.29,n/a*,*Wrong Probe,,10/15/2014
10,1,11:37,28.71,0.385,0.18,n/a*,*Wrong Probe,,10/15/2014
9,5,12:05,28.59,0.374,0.18,n/a*,*Wrong Probe,,10/15/2014
9,6,11:58,28.62,0.514,0.25,n/a*,*Wrong Probe,,10/15/2014
9,7,12:01,28.65,0.405,0.19,n/a*,*Wrong Probe,,10/15/2014
9,8,11:55,28.5,0.391,0.19,n/a*,*Wrong Probe,,10/15/2014
9,1,12:08,29.19,0.419,0.2,n/a*,*Wrong Probe,,10/15/2014
2,5,12:27,29.8,0.379,0.18,n/a*,*Wrong Probe,,10/15/2014
2,6,12:29,29.65,0.377,0.18,n/a*,*Wrong Probe,,10/15/2014
2,7,12:23,30.83,0.393,0.19,n/a*,*Wrong Probe,,10/15/2014
2,8,12:25,29.75,0.376,0.18,n/a*,*Wrong Probe,,10/15/2014
2,1,12:31,29.27,0.383,0.18,n/a*,*Wrong Probe,,10/15/2014
3,5,12:27,29.8,0.379,0.18,n/a*,*Wrong Probe,,10/15/2014
3,6,12:29,29.65,0.377,0.18,n/a*,*Wrong Probe,,10/15/2014
3,7,12:23,30.83,0.393,0.19,n/a*,*Wrong Probe,,10/15/2014
3,8,12:25,29.75,0.376,0.18,n/a*,*Wrong Probe,,10/15/2014
3,1,12:31,29.27,0.383,0.18,n/a*,*Wrong Probe,,10/15/2014
6,5,15:35,30.09,0.417,0.2,n/a*,*Wrong Probe,,10/15/2014
6,6,15:33,30.86,0.439,0.21,n/a*,*Wrong Probe,,10/15/2014
6,7,15:36,31.02,0.444,0.21,n/a*,*Wrong Probe,,10/15/2014
6,8,15:32,30.77,0.396,0.19,n/a*,*Wrong Probe,,10/15/2014
6,1,15:31,31.9,0.425,0.2,n/a*,*Wrong Probe,,10/15/2014
15,5,13:57,33.22,4.245,2.22,n/a*,*Wrong Probe,,10/15/2014
15,6,13:53,30.54,4.293,2.26,n/a*,*Wrong Probe,,10/15/2014
15,7,14:04,32.3,6.032,3.24,n/a*,*Wrong Probe,,10/15/2014
15,8,13:56,32.25,4.105,2.15,n/a*,*Wrong Probe,,10/15/2014
15,1,13:46,31,0.826,0.4,n/a*,*Wrong Probe,,10/15/2014
15,2,13:41,32.04,2.24,1.13,n/a*,*Wrong Probe,,10/15/2014
15,3,13:47,32.22,0.617,0.29,n/a*,*Wrong Probe,,10/15/2014
15,4,13:49,30.02,0.98,0.48,n/a*,*Wrong Probe,,10/15/2014
13,5,14:17,31.22,2.752,1.41,n/a*,*Wrong Probe,,10/15/2014
13,6,14:25,30.95,3.238,1.68,n/a*,*Wrong Probe,,10/15/2014
13,7,14:26,31.63,5.371,2.86,n/a*,*Wrong Probe,,10/15/2014
13,8,14:09,31.94,3.703,1.93,n/a*,*Wrong Probe,,10/15/2014
13,1,14:04,30.6,1.113,0.454,n/a*,*Wrong Probe,,10/15/2014
13,2,14:07,31.72,3.082,1.59,n/a*,*Wrong Probe,,10/15/2014
13,3,14:08,31.25,2.76,1.43,n/a*,*Wrong Probe,,10/15/2014
13,4,14:06,32.8,2.72,1.15,n/a*,*Wrong Probe,,10/15/2014
16,5,14:37,31.77,5.44,2.9,n/a*,*Wrong Probe,,10/15/2014
16,6,14:27,29.85,5.86,3.15,n/a*,*Wrong Probe,,10/15/2014
16,7,14:20,30.05,4.169,2.19,n/a*,*Wrong Probe,,10/15/2014
16,8,14:39,31.56,3,1.54,n/a*,*Wrong Probe,,10/15/2014
16,1,14:31,29.86,2.224,1.13,n/a*,*Wrong Probe,,10/15/2014
16,2,14:24,31.26,2.65,1.3,n/a*,*Wrong Probe,,10/15/2014
16,3,14:15,32.39,1.171,0.57,n/a*,*Wrong Probe,,10/15/2014
16,4,14:31,30.44,3.277,1.7,n/a*,*Wrong Probe,,10/15/2014
14,5,14:47,31.21,4.316,2.27,n/a*,*Wrong Probe,,10/15/2014
14,6,14:45,31.86,3.556,1.86,n/a*,*Wrong Probe,,10/15/2014
14,7,14:41,30.8,3.966,2.08,n/a*,*Wrong Probe,,10/15/2014
14,8,14:44,32.03,5.113,2.72,n/a*,*Wrong Probe,,10/15/2014
14,1,14:40,32.41,1.818,0.91,n/a*,*Wrong Probe,,10/15/2014
14,2,14:48,32.27,2.246,1.14,n/a*,*Wrong Probe,,10/15/2014
14,3,14:37,30.67,0.9,0.44,n/a*,*Wrong Probe,,10/15/2014
14,4,14:45,32.7,1.517,0.75,n/a*,*Wrong Probe,,10/15/2014
12,5,15:04,32.26,3.42,1.77,n/a*,*Wrong Probe,,10/15/2014
12,6,15:02,31.75,4.265,2.24,n/a*,*Wrong Probe,,10/15/2014
12,7,15:01,31.06,3.913,2.05,n/a*,*Wrong Probe,,10/15/2014
12,8,14:59,30.7,3.73,1.95,n/a*,*Wrong Probe,,10/15/2014
12,1,14:58,30.98,1.323,0.65,n/a*,*Wrong Probe,,10/15/2014
12,2,14:56,31.36,2.115,1.07,n/a*,*Wrong Probe,,10/15/2014
12,3,14:52,32.28,1.224,0.6,n/a*,*Wrong Probe,,10/15/2014
12,4,14:57,31.05,1.24,0.61,n/a*,*Wrong Probe,,10/15/2014
11,5,15:15,31.5,4.56,2.41,n/a*,*Wrong Probe,,10/15/2014
11,6,15:12,31.33,4.38,2.31,n/a*,*Wrong Probe,,10/15/2014
11,7,15:13,31.44,4.52,2.59,n/a*,*Wrong Probe,,10/15/2014
11,8,15:11,30.02,4.233,2.23,n/a*,*Wrong Probe,,10/15/2014
11,1,15:08,31.51,1.367,0.68,n/a*,*Wrong Probe,,10/15/2014
11,2,15:06,31.17,1.97,0.99,n/a*,*Wrong Probe,,10/15/2014
11,3,15:17,32.09,2.504,1.27,n/a*,*Wrong Probe,,10/15/2014
11,4,15:18,31.9,1.444,0.72,n/a*,*Wrong Probe,,10/15/2014
